ingestdate,source,mfr,mpn,partnumber,qtyavail,price
20130808,source1,mfr1,mpn1,partnumber1,8392,2.59
20130809,source1,mfr1,mpn1,partnumber1,8392,2.59
20130809,source1,mfr1,mpn1,partnumber1,8392,2.59
20130810,source1,mfr1,mpn1,partnumber1,8392,2.59
20130810,source1,mfr1,mpn1,partnumber1,8392,2.59
20130811,source1,mfr1,mpn1,partnumber1,8392,2.59
20130811,source1,mfr1,mpn1,partnumber1,8392,2.59
20130811,source1,mfr1,mpn1,partnumber1,8392,2.59
20130812,source1,mfr1,mpn1,partnumber1,8392,2.59
20130812,source1,mfr1,mpn1,partnumber1,8392,2.59
20130813,source1,mfr1,mpn1,partnumber1,8389,2.59
20130813,source1,mfr1,mpn1,partnumber1,8389,2.59
20130814,source1,mfr1,mpn1,partnumber1,8389,2.59
20130814,source1,mfr1,mpn1,partnumber1,8389,2.59
20130815,source1,mfr1,mpn1,partnumber1,8389,2.59
20130815,source1,mfr1,mpn1,partnumber1,8389,2.59
20130816,source1,mfr1,mpn1,partnumber1,8389,2.59
20130816,source1,mfr1,mpn1,partnumber1,8389,2.59
20130817,source1,mfr1,mpn1,partnumber1,8389,2.59
20130817,source1,mfr1,mpn1,partnumber1,8389,2.59
20130818,source1,mfr1,mpn1,partnumber1,8389,2.59
20130818,source1,mfr1,mpn1,partnumber1,8389,2.59
20130819,source1,mfr1,mpn1,partnumber1,8389,2.59
20130819,source1,mfr1,mpn1,partnumber1,8389,2.59
20130820,source1,mfr1,mpn1,partnumber1,8389,2.59
20130820,source1,mfr1,mpn1,partnumber1,8389,2.59
20130904,source1,mfr1,mpn1,partnumber1,6734,2.59
20130905,source1,mfr1,mpn1,partnumber1,6734,2.59
20130906,source1,mfr1,mpn1,partnumber1,6734,2.59
20130907,source1,mfr1,mpn1,partnumber1,6734,2.59
20130908,source1,mfr1,mpn1,partnumber1,6734,2.59
20130909,source1,mfr1,mpn1,partnumber1,6734,2.59
20130910,source1,mfr1,mpn1,partnumber1,6734,2.59
20130911,source1,mfr1,mpn1,partnumber1,6734,2.59
20130912,source1,mfr1,mpn1,partnumber1,6734,2.59
20130913,source1,mfr1,mpn1,partnumber1,6734,2.59
20130914,source1,mfr1,mpn1,partnumber1,6734,2.59
20130915,source1,mfr1,mpn1,partnumber1,6734,2.59
20130916,source1,mfr1,mpn1,partnumber1,6734,2.59
20130918,source1,mfr1,mpn1,partnumber1,6734,2.59
20130919,source1,mfr1,mpn1,partnumber1,6734,2.59
20130920,source1,mfr1,mpn1,partnumber1,6734,2.59
20130921,source1,mfr1,mpn1,partnumber1,6734,2.59
20130922,source1,mfr1,mpn1,partnumber1,6734,2.59
