ingestdate,qtyavail
20130809,15878000
20130809,15889370
20130809,15889370
20130809,15878000
20130809,15889370
20130809,15889370
20130811,15878000
20130811,15887710
20130811,15887710
20130811,15878000
20130811,15887710
20130811,15887710
20130811,15878000
20130811,15887710
20130811,15887710
20130811,15878000
20130811,15887710
20130811,15887710
20130812,15878000
20130812,15887710
20130812,15887710
20140512,6500000
20140512,6515158
20140512,6515158
20140517,8050000
20140517,8058930
20140517,8058930
20140524,11670000
20140524,11798440
20140524,11798440
20140531,10190000
20140531,10306966
20140531,10306966
20140119,3498000
20140119,3508910
20140119,3508910
20140122,3188000
20140122,3203137
20140122,3203137
20140128,2558000
20140128,2574500
20140128,2576500
20140131,2700000
20140131,2720123
20140131,2720130
20140115,4238000
20140115,4248481
20140115,4248481
20140118,3498000
20140118,3509015
20140118,3509015
20140123,3178000
20140123,3186077
20140123,3186077
20140125,2258000
20140125,2271446
20140125,2272446
20140126,2258000
20140126,2271335
20140126,2272335
20131117,2938000
20131117,2949352
20131117,2949352
20131126,1278000
20131126,1306249
20131126,1306249
20131126,1278000
20131126,1306249
20131126,1306249
20131201,1228000
20131201,1244119
20131201,1244119
20131207,168000
20131207,187345
20131207,187345
20131221,6318000
20131221,6350345
20131221,6350345
20150417,6360000
20150417,6407671
20150417,6407671
20150421,14290000
20150421,14325222
20150421,14325222
20150422,13320000
20150422,13348132
20150422,13348132
20150501,10360000
20150501,10405844
20150501,10405844
20140109,5398000
20140109,5415658
20140109,5415658
20140111,4598000
20140111,4613262
20140111,4613262
20140116,4228000
20140116,4245265
20140116,4245275
20140203,1650000
20140203,1669376
20140203,1669376
20140117,4248000
20140117,3529165
20140117,4259165
20140121,3218000
20140121,3233741
20140121,3233741
20140124,3168000
20140124,3181657
20140124,3182657
20140127,2148000
20140127,2169029
20140127,2170029
20131223,6318000
20131223,6349814
20131223,6349820
20140103,5118000
20140103,5907682
20140103,5907682
20140120,3488000
20140120,3498390
20140120,3498390
20140202,1650000
20140202,1669391
20140202,1669391
20140104,5118000
20140104,5132812
20140104,5132812
20140105,5118000
20140105,5132806
20140105,5132806
20140107,5118000
20140107,5132421
20140107,5132421
20140113,4578000
20140113,4593212
20140113,4593212
20131231,5888000
20131231,5910649
20131231,5910649
20140102,5888000
20140102,5908442
20140102,5908442
20140106,5118000
20140106,5132746
20140106,5132746
20140112,4598000
20140112,4613262
20140112,4613262
20140613,8880000
20140613,8977453
20140613,8977453
20140623,8140000
20140623,8235143
20140623,8235245
20140627,6570000
20140627,6651968
20140627,6651968
20140630,11330000
20140630,11409238
20140630,11409238
20130808,15888000
20130808,15899380
20130808,15899380
20130817,15718000
20130817,15735960
20130817,15735960
20130819,15718000
20130819,15735760
20130819,15735760
20130909,8428000
20130909,8439071
20130909,8569283
20130915,8248000
20130915,8262329
20130915,8262329
20130921,8178000
20130921,8186366
20130921,8186366
20131222,6318000
20131222,6349820
20131222,6349820
20131224,6508000
20131224,6534564
20131224,6534564
20131229,5818000
20131229,5842288
20131229,5842288
20140108,5398000
20140108,5416921
20140108,5416921
20141023,14110000
20141023,14140699
20141023,14140699
20141029,13110000
20141029,13139035
20141029,13139035
20141030,13110000
20141030,13136740
20141030,13136740
20131225,6498000
20131225,6524494
20131225,6524494
20131226,6488000
20131226,6514494
20131226,6514494
20131227,6478000
20131227,6503480
20131227,6503480
20131228,5818000
20131228,5842290
20131228,5842290
20150702,3750000
20150702,3779249
20150702,3779249
20150705,3710000
20150705,3758027
20150705,3758027
20150707,2960000
20150707,3002464
20150707,3002464
20150703,3710000
20150703,3758093
20150703,3758249
20150706,3710000
20150706,3758027
20150706,3758027
20150708,3730000
20150708,3771052
20150708,3770902
20150622,6990000
20150622,7027532
20150622,7027532
20150628,6020000
20150628,6051502
20150628,6051502
20150701,3750000
20150701,3780559
20150701,3780559
20150621,6990000
20150621,7027532
20150621,7027532
20150629,6020000
20150629,6051402
20150629,6051397
20150630,4460000
20150630,4489959
20150630,4489959
20140420,9480000
20140420,9492692
20140420,9492692
20140501,6230000
20140501,6249616
20140501,6249616
20140504,6210000
20140504,6224660
20140504,6224660
20140506,7520000
20140506,7533775
20140506,7533775
20140507,6500000
20140507,6516075
20140507,6516075
20150623,5640000
20150623,5676242
20150623,5676242
20150626,6750000
20150626,6782277
20150626,6782277
20150627,6020000
20150627,6051502
20150627,6051502
20150617,7350000
20150617,7390834
20150617,7390834
20150618,7350000
20150618,7390282
20150618,7390282
20150625,6750000
20150625,6782697
20150625,6782697
20150615,7150000
20150615,7185531
20150615,7185531
20150619,7290000
20150619,7327842
20150619,7327842
20150620,6990000
20150620,7027532
20150620,7027532
20150608,8620000
20150608,8646548
20150608,8647048
20150616,6570000
20150616,6612226
20150616,6612226
20150624,6760000
20150624,6792982
20150624,6792982
20150610,7190000
20150610,7215521
20150610,7215521
20150611,7180000
20150611,7204311
20150611,7204311
20150613,7150000
20150613,7190551
20150613,7190551
20140409,3210000
20140409,3223857
20140409,3223857
20140410,4570000
20140410,4532076
20140410,4592076
20140416,3400000
20140416,3418084
20140416,3418084
20140418,6130000
20140418,6146367
20140418,6146367
20150609,7200000
20150609,7226326
20150609,7226326
20150612,7180000
20150612,7202051
20150612,7202051
20150614,7150000
20150614,7185531
20150614,7185531
20140929,3220000
20140929,3288608
20140929,3288608
20141005,3170000
20141005,3223204
20141005,3223204
20141007,2990000
20141007,3041994
20141007,3041994
20150530,10040000
20150530,10071975
20150530,10071975
20150531,10040000
20150531,10071975
20150531,10071975
20150601,10040000
20150601,10071975
20150601,10071975
20150603,8660000
20150603,8686404
20150603,8686404
20150605,8630000
20150605,8655392
20150605,8655452
20150606,8620000
20150606,8648148
20150606,8648148
20150529,10050000
20150529,10082125
20150529,10082125
20150602,9180000
20150602,9211049
20150602,9211151
20150607,8620000
20150607,8648098
20150607,8648098
20150522,7960000
20150522,7979777
20150522,7979777
20150527,10110000
20150527,10139340
20150527,10139340
20150528,10060000
20150528,10088930
20150528,10088930
20150510,10120000
20150510,10147194
20150510,10147194
20150512,10120000
20150512,10145142
20150512,10145142
20150513,9150000
20150513,9193853
20150513,9193853
20150521,7980000
20150521,8002862
20150521,8002862
20150523,7940000
20150523,7976918
20150523,7976918
20150604,8630000
20150604,8656212
20150604,8656212
20150502,10350000
20150502,10393794
20150502,10393794
20150507,10120000
20150507,10157872
20150507,10157872
20150508,10120000
20150508,10156622
20150508,10156622
20150516,7710000
20150516,7751256
20150516,7751256
20150518,7710000
20150518,7751256
20150518,7751256
20150526,7940000
20150526,7976490
20150526,7976490
20150428,10970000
20150428,11019063
20150428,11019063
20150503,10350000
20150503,10392794
20150503,10392794
20150505,10350000
20150505,10390583
20150505,10390583
20150427,11030000
20150427,11050856
20150427,11050856
20150504,10350000
20150504,10392794
20150504,10392794
20150506,10960000
20150506,10998483
20150506,10998483
20150509,10120000
20150509,10147294
20150509,10147294
20150511,10120000
20150511,10147194
20150511,10147194
20150515,7710000
20150515,7752373
20150515,7752373
20150514,7710000
20150514,7753193
20150514,7753193
20150517,7710000
20150517,7751256
20150517,7751256
20150525,7940000
20150525,7976768
20150525,7976768
20150415,3300000
20150415,3332089
20150415,3332089
20150429,11060000
20150429,11108277
20150429,11108277
20150430,10380000
20150430,10426756
20150430,10426756
20150519,8550000
20150519,8579082
20150519,8579082
20150520,8550000
20150520,8574582
20150520,8574582
20150524,7940000
20150524,7976918
20150524,7976918
20150412,2800000
20150412,2832874
20150412,2832874
20150420,14290000
20150420,14326656
